Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
Jes 1:18,כשנים,כשני,J. D. Michaelis,1779,1QIsaᵃ,
Jes 15:3,בחוצתיה,בחוצותיו,Kittel,1906,1QIsaᵃ,
Jes 17:6,בסעפיה,בסעפי,Ferdinand Hitzig,1831,1QIsaᵃ,Begriff der Kritik p. 134
Jes 21:8,אריה,הראה,Max Haller,1914,1QIsaᵃ,R. Lowth e 𝕾
Jes 23:11,מעזניה,מעוזיה,August Knobel,1843,1QIsaᵃ,
Jes 33:1,כנלתך,ככלותך,Louis Cappel,n.d.,1QIsaᵃ,
Jes 33:8,מאס ערים,מאס עדים,Bernhard Duhm,1892,1QIsaᵃ,
Jes 33:13,ודעו,ידעו,Bernhard Duhm,1892,1QIsaᵃ,
Jes 43:8,הוציא,הוציאו,Kittel,1906,1QIsaᵃ,
Jes 44:8,תרהו,תיראו,Frants Buhl,1912,1QIsaᵃ,
Jes 49:7,לבזה,לבזוי,Bernhard Duhm,1892,1QIsaᵃ,Graetz?
Jes 54:5,בעליך,בעלכי,Bernhard Duhm,1892,1QIsaᵃ,
Jes 54:13,בניך,נוניך,Ch.-F. Houbigant,1777,1QIsaᵃ,
Jes 58:9,שלח,שלוח,Arnold B. Ehrlich,1912,1QIsaᵃ,
Jes 62:5,יבעל,כבעול,Ch.-F. Houbigant,1777,1QIsaᵃ,
Matt 5:13 [22],μωρανθῇ,μαρανθῇ,Naber,1881,,[cj10730](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10730)
Matt 5:19 [58],οὗτος μέγας,"οὕτως, μέγας",Markland,1739,,[cj11195](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11195)
Matt 5:45 [20],ὅτι,ὅστις,Beza,1556,,[cj11200](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11200)
Matt 6:24 [31],ἐνός,τοῦ ἐνός,Markland,1772,,[cj11202](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11202)
Matt 7:6 [22],ὑμῶν,om.,Blass,1901,,[cj16275](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16275)
Matt 8:28 [22],Γαδαρηνῶν,Γεργεσηνῶν,Origen, 248,,[cj10148](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10148)
Matt 8:31 [16],ἐκβάλλεις,ἐκβαλεῖς,Naber,1878,,[cj10696](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10696)
Matt 10:31 [8],πολλῶν,πολλῷ,Markland,1739,,[cj10697](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10697)
Matt 12:24 [28–30],ἐν τῷ Βεελζεβούλ,ἐν Βεελζεβοὺλ τῷ,Fritzsche,1826,,[cj11548](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11548)
Matt 12:35 [37],πονηρά,τὰ πονηρά,Markland,1772,,[cj11218](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11218)
Matt 12:48 [10–12],τῷ λέγοντι,om.,Holwerda,1860,,[cj10613](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10613)
Matt 15:31 [16–18],κυλλοὺς ὑγιεῖς,om.,Erasmus,1516,,[cj11222](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11222)
Matt 21:7 [28],ἐπεκάθισεν,ἐπεκάθησεν,Gerbel,1521,,[cj12346](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12346)
Matt 21:41 [2–4],λέγουσιν αὐτῷ,om.,Daniel Heinsius,1639,,[cj11248](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11248)
Matt 22:28 [17],τίνος τῶν ἑπτὰ ἔσται γυνή;,τίνος τῶν ἑπτὰ ἔσται ἡ γυνή;,Fritzsche,1826,,[cj12353](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12353)
Matt 23:11 [10],ἔσται,ἔστω,Schmidius,1637,,[cj11255](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11255)
Matt 23:14 [28],καί,om.,Daniel Heinsius,1639,,[cj11257](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11257)
Matt 23:35 [44–46],υἱοῦ Βαραχίου,om.,Anonymous,1653,,[cj11258](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11258)
Matt 24:6 [20],θροεῖσθε,θορυβεῖσθε,Naber,1878,,[cj10753](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10753)
Matt 25:9 [4],δέ,om.,Hombergk zu Vach,1712,,[cj11262](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11262)
Matt 26:29 [29],ἀμπέλου,ἀμπέλου ταύτης,Blass,1901,,[cj16336](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16336)
Matt 26:42 [16],μου,om.,Blass,1901,,[cj16341](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16341)
Matt 26:60 [8–12],πολλῶν προσελθόντων ψευδομαρτύρων,om.,David Schulz,1827,,[cj12370](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12370)
Matt 27:9 [12],Ἰερεμίου,Ζαχαρίου,Origen, 249,,[cj10725](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10725)
Matt 27:9 [12],Ἰερεμίου,om.,Musculus,1544,,[cj12376](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12376)
Matt 27:10 [4],ἔδωκαν,ἔδωκα,Beza,1589,,[cj10726](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10726)
Matt 27:16 [2],εἶχον,εἶχεν,Holwerda,1854,,[cj12377](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12377)
Matt 27:16 [14–16],[Ἰησοῦν] Βαραββᾶν,Ἰησοῦν Βαραββᾶν,J. D. Michaelis,1772,,[cj11268](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11268)
Matt 27:43 [12],νῦν,txt,Beza,1589,,[cj11311](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11311)
Matt 27:53 [18],αὐτοῦ,αὐτῶν,Glykas,1204,,[cj16738](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16738)
Mark 1:4 [24–28],εἰς ἄφεσιν ἁμαρτιῶν,om.,Scholten,1868,,[cj12526](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12526)
Mark 1:16 [29],ἀμφιβάλλοντας,ἀμφίβληστρον ἀμφιβάλλοντας,Michelsen,1867,,[cj12527](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12527)
Mark 1:20 [4–10],εὐθύς,pon. p. αὐτούς. καί,Johannes Schrader,1817,,[cj12528](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12528)
Mark 1:43 [2–12],καὶ ἐμβριμησάμενος αὐτῷ εὐθὺς ἐξέβαλεν αὐτόν,om.,Bergman,1866,,[cj12533](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12533)
Mark 2:26 [16–20],ἐπὶ Ἀβιαθὰρ ἀρχιερέως,om.,Beza,1556,,[cj12696](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12696)
Mark 4:28 [20–22],πλήρη[ς] σῖτον,πλήρης σῖτον,Hort,1881,,[cj10619](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10619)
Mark 5:1 [24],Γερασηνῶν,Γεργεσηνῶν,Origen, 248,,[cj12554](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12554)
Mark 7:3 [20],πυγμῇ,πυκνά,Erasmus,1527,,[cj10427](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10427)
Mark 7:7 [13],ἐντάλματα,καὶ ἐντάλματα,Thomas Mangey,1755,,[cj11300](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11300)
Mark 7:13 [22–30],καὶ παρόμοια τοιαῦτα πολλὰ ποιεῖτε,om.,Owen,1782,,[cj11303](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11303)
Mark 8:24 [22],περιπατοῦντας,περιπατοῦντα,Clericus,1698,,[cj11305](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11305)
Mark 9:7 [14],καὶ ἐγένετο φωνή,καὶ φωνή,Michelsen,1867,,[cj10431](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10431)
Mark 9:18 [12],ῥήσσει,ῥάσσει,John Bois,1643,,[cj11317](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11317)
Mark 9:43 [54–62],εἰς τὸ πῦρ τὸ ἄσβεστον,om.,Beza,1582,,[cj11321](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11321)
Mark 10:30 [20–44],οἰκίας καὶ ἀδελφοὺς καὶ ἀδελφὰς καὶ μητέρας … μετὰ διωγμῶν,om.,Pearce,1774,,[cj11325](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11325)
Mark 10:30 [44],διωγνῶν,διωγμόν,Daniel Heinsius,1639,,[cj11783](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11783)
Mark 10:36 [14],[με] ποιήσω,ἵνα ποιήσω,Michelsen,1867,,[cj10437](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10437)
Mark 12:27 [5],οὐκ ἔστιν θεὸς νεκρῶν,οὐκ ἔστιν ὁ θεὸς θεὸς νεκρῶν,Markland,1772,,[cj10446](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10446)
Mark 12:30 [36–46],καὶ ἐξ ὅλης τῆς διανοίας σου,om.,Drusius,1588,,[cj10513](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10513)
Mark 13:7 [6],ἀκούσητε,ἀκούητε,Holwerda,1853,,[cj12472](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12472)
Mark 13:32 [32–36],οὐδὲ ὁ υἱός,om.,Ambrose, 378,,[cj12622](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12622)
Mark 14:65 [35],προφήτευσον,"προφήτευσον, τίς ἐστιν ὁ παίσας σε;",Schmiedel,1901,,[cj14136](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj14136)
Mark 15:25 [8],τρίτη,ἕκτη,Jerome, 398,,[cj11344](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11344)
Mark 15:36 [24–26],λέγων· ἄφετε,οἱ δὲ λοιποὶ ἔλεγον· ἄφες,Jansenius,1571,,[cj12630](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12630)
Luke 1:29 [6–10],ἐπὶ τῷ λόγῳ,om.,Griesbach,1774,,[cj13632](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj13632)
Luke 1:63 [18],αὐτοῦ,αὐτῷ,Lee,2014,,[cj15377](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj15377)
Luke 2:11 [12–18],ὅς ἐστιν χριστὸς κύριος,om.,Markland,1772,,[cj11236](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11236)
Luke 2:14 [18],ἐν,om.,Erasmus,1516,,[cj11363](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11363)
Luke 2:21 [18],καί,om.,Markland,1776,,[cj11365](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11365)
Luke 2:22 [16],αὐτῶν,om.,Bengel,1742,,[cj11366](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11366)
Luke 3:23 [10],ἀρχόμενος,ἐρχόμενος,Casaubon,1614,,[cj11371](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11371)
Luke 3:36 [2–4],τοῦ Καϊνάμ,om.,Beza,1556,,[cj10149](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10149)
Luke 4:25 [58],λιμὸς μέγας,λιμὸς μεγάλη,Valckenaer,1785,,[cj13652](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj13652)
Luke 4:33 [16–20],πνεῦμα δαιμονίου ἀκαθάρτου,δαιμόνιον,Sahlin,1949,,[cj16939](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16939)
Luke 5:29 [34],ἄλλων,ἁμαρτωλῶν,Thomas Mangey,1755,,[cj11380](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11380)
