Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
AP 5.218.2,γλυκεροὺς/-ρὰς,Γλυκέρας,Scaliger,s.xvi/xvii,P.Oxy. II 211,
AP 9.570.1,ξανθοκηρ-,Ξανθὼ κηρόπλαστε,I. G. Huschke,1800,P.Oxy. LIV 3724,
AP 9.588.5,ἐπωμίδας,βραχείονας,Johannes Pierson,s.xviii med.,P.Tebt. I 3,
AP 11.328.7,ἐρμηναῖοι,ἐρυνεοὶ,Friedrich Jacobs,1798–1814,P.Oxy. LXVI 4502,
Ach.Tat. LC 2.2.1,γὰρ τὸν,τὸν γὰρ,Friedrich Jacobs,1821,P.Oxy. X 1250,
Ach.Tat. LC 2.9.2,-θιγεν,προσέθηκεν,B. G. L. Boden,1776,P.Oxy. X 1250,]ηκεν
Ach.Tat. LC 3.19.3,ὅμως,ὅπως,Cobet,1858,P.Duk. inv. 772 + P.Köln inv. 901,
Ach.Tat. LC 3.20.6,καθ' ἡμᾶς,καὶ καθ' ἡμᾶς,A. Wifstrand,1945,P.Duk. inv. 772 + P.Köln inv. 901,
Ach.Tat. LC 3.22.3,ἔ. π.,ἔφη τοὺς πρωτομύστας,Jérôme Commelin,1601,P.Duk. inv. 772 + P.Köln inv. 901 et P.Oxy. LVI 3836,
Ach.Tat. LC 3.22.6,ἡμῶν ἐκποδὼν,ἡ]μῖν ἐμποδὼν,Friedrich Jacobs,1821,P.Duk. inv. 772 + P.Köln inv. 901,
Ach.Tat. LC 3.23.1,τὴν ψυχὴν,τῆς ψυχῆς,Cobet,1858,P.Duk. inv. 772 + P.Köln inv. 901,
Ach.Tat. LC 3.24.2,πέντε,αἱ πέντε,Cobet,1858,P.Duk. inv. 772 + P.Köln inv. 901,
Ael. NA 12.10,-ία,μυωνιά,Theodor Kock,1880–8,Laur. 86.7 (L),
Aesch. Ag. 175,φρε-,φρονῶν,Francesco Robortello,1552,Fac,
Aesch. Ag. 231,-άν,εὐχᾶν,Maas,1951,Mac,CQ
Aesch. Ag. 448,διὰ,διαὶ,Hermann,1852,Epim.Hom. δ 68,
Aesch. Cho. 989,ψέ-,λέγω,Turnebus,1552,schol. vetus (Σ),
Aesch. PV 157,ἐπεγήθει/ἐπιγήθει,ἐγεγήθει,Valckenaer,s.xviii med.,Ambros. gr. G 56 (D) et Matrit. gr. 4677 (N),
Aesch. PV 691–3,δείματ',del.,Hermann,1852,Ambros. gr. G 56 (D),
Aesch. Sept. 322,Ἀΐδαι,ἄϊδι,Turnebus,1552,Monac. gr. 565 (Uc),
Aesch. Supp. 44,-αις,ἐπιπνοίας,Francesco Robortello,1552,schol. vetus (Σ),
Aesch. Supp. 79,ηβαι,ἥβαν,C. G. Schütz,1794,schol. vetus (Σ),
Aesch. Supp. 459,-εῖ,καλή,Turnebus,1552,Bonon. Bibl. Univ. 2271 (Mb),a.c.
Aesch. Supp. 570,τὰν,τὰ,Hermann,1852,Guelf. Gud. gr. 4° 88 (Mc),a.c.
Aesch. T 1.5,-ουϲ,Ἀριϲτοφάνει,Bergk,1883,BXc,Herm.
